Source:,C:\Users\Drew Maatman\Documents\KiCad Projects\Projects\VFD_Clock\rev_b\hdw\Logic_Board\VFD_Clock\VFD_Clock.sch,,,,,,,,,,,,,,,,,,
Date:,10/18/2020 13:45,,,,,,,,,,,,,,,,,,
Tool:,Eeschema (5.1.4)-1,,,,,,,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,,,
Component Count:,400,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Ampacity,Baud_Rate,Config,Data_Length,Dielectric,Digi-Key PN,Flow_Control,Parity,Stop_Bits,Tolerance,Voltage,Wattage,display_footprint
,,D1801,MBR0580,Diode:MBR0580,Diode_SMD:D_SOD-123,http://www.mccsemi.com/up_pdf/MBR0520~MBR0580(SOD123).pdf,,,,,,MBR0580S1-7DICT-ND,,,,,,,
,,D2001,Green,Device:LED,LEDs:LED_0603,~,,,,,,160-1446-1-ND,,,,,,,
,,D2003,Red,Device:LED,LEDs:LED_0603,~,,,,,,160-1447-1-ND,,,,,,,
,,D2004,Red,Device:LED,LEDs:LED_0603,~,,,,,,160-1447-1-ND,,,,,,,
,,D2006,Red,Device:LED,LEDs:LED_0603,~,,,,,,160-1447-1-ND,,,,,,,
,,D2101,Green,Device:LED,LEDs:LED_0603,~,,,,,,160-1446-1-ND,,,,,,,
,,D2102,Green,Device:LED,LEDs:LED_0603,~,,,,,,160-1446-1-ND,,,,,,,
,,D2103,Green,Device:LED,LEDs:LED_0603,~,,,,,,160-1446-1-ND,,,,,,,
,,D2104,Green,Device:LED,LEDs:LED_0603,~,,,,,,160-1446-1-ND,,,,,,,
,,D2105,Green,Device:LED,LEDs:LED_0603,~,,,,,,160-1446-1-ND,,,,,,,
,,D2106,Red,Device:LED,LEDs:LED_0603,~,,,,,,160-1447-1-ND,,,,,,,
,,D2107,Green,Device:LED,LEDs:LED_0603,~,,,,,,160-1446-1-ND,,,,,,,
,,D2301,BAT48JFILM,Diode:BAT48JFILM,Diode_SMD:D_SOD-323,www.st.com/resource/en/datasheet/bat48.pdf,,,,,,,,,,,,,
